id_pncp_item_compra,cod_compra,cod_item_compra,numero_item_pncp,numero_grupo,numero_item_compra,descricao_resumida,material_ou_servico,valor_unitario_estimado,valor_total,quantidade,unidade_medida,orcamento_sigiloso,item_categoria_id_pncp,item_categoria_nome,criterio_julgamento_id_pncp,criterio_julgamento_nome,situacao_compra_item,situacao_compra_item_nome,tipo_beneficio,tipo_beneficio_nome,incentivo_produtivo_basico,data_inclusao_pncp,data_atualizacao_pncp,tem_resultado,ID_contratacao_PNCP,cod_fornecedor,nome_fornecedor,data_resultado,valor_total_resultado,valor_unitario_resultado,quantidade_resultado,id_compra,id_compra_item,ano_compra,sequencial_compra,orgao_entidade_cnpj,unidade_orgao_codigo_unidade,margem_preferencia_normal,margem_preferencia_adicional,numero_controle_PNCP_compra
49219565,10042157,48007999,55,0,55,GRÁFICO - IMPRESSOS / PLASTIFICAÇÃO / ACABAMENTO,Serviço,1.8,900.0,500.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,60827030000106.0,60.827.030 JERONIDES LOPES DA SILVA,2026-04-26,870.0,1.74,500.0,12006005900112026,1200600590011202600055,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219566,10042157,48008000,56,0,56,GRÁFICO - IMPRESSOS / PLASTIFICAÇÃO / ACABAMENTO,Serviço,1.76,880.0,500.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,,00394429000100-1-000153/2026,,,,,,,12006005900112026,1200600590011202600056,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219567,10042157,48008001,57,0,57,GRÁFICO - IMPRESSOS / PLASTIFICAÇÃO / ACABAMENTO,Serviço,4.7,2350.0,500.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,64248338000140.0,FAVO - DISTRIBUIDORA E SERVICOS LTDA,2026-04-26,2300.0,4.6,500.0,12006005900112026,1200600590011202600057,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219568,10042157,48008002,58,0,58,CONFECÇÃO DE PLACAS /  QUADROS /  DISTINTIVOS / ARTEFATOS DEACRÍLICO / METAL / LAMINADO / PVC,Serviço,37.0,1665.0,45.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,63102808000108.0,JULIAN DECORACOES LTDA,2026-04-26,1012.5,22.5,45.0,12006005900112026,1200600590011202600058,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219569,10042157,48008005,61,0,61,GRÁFICO - IMPRESSOS / PLASTIFICAÇÃO / ACABAMENTO,Serviço,3.0,1500.0,500.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,True,00394429000100-1-000153/2026,60827030000106.0,60.827.030 JERONIDES LOPES DA SILVA,2026-04-26,1495.0,2.99,500.0,12006005900112026,1200600590011202600061,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219570,10042157,48008006,62,0,62,GRÁFICO - IMPRESSOS / PLASTIFICAÇÃO / ACABAMENTO,Serviço,0.36,180.0,500.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,True,00394429000100-1-000153/2026,60827030000106.0,60.827.030 JERONIDES LOPES DA SILVA,2026-04-26,180.0,0.36,500.0,12006005900112026,1200600590011202600062,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219571,10042157,48008011,67,0,67,ELABORAÇÃO DE ARTE - GRÁFICA,Serviço,65.0,650.0,10.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,True,00394429000100-1-000153/2026,41977393000175.0,CENTRO SUL GRAFICA & COMUNICACAO VISUAL LTDA,2026-04-26,650.0,65.0,10.0,12006005900112026,1200600590011202600067,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219572,10042157,48008012,68,0,68,CONFECÇÃO SACOLAS,Serviço,5.49,1647.0,300.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,,00394429000100-1-000153/2026,,,,,,,12006005900112026,1200600590011202600068,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219573,10042157,48008013,69,0,69,CONFECÇÃO SACOLAS,Serviço,5.49,1647.0,300.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,,00394429000100-1-000153/2026,,,,,,,12006005900112026,1200600590011202600069,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219574,10042157,48008014,70,0,70,CONFECÇÃO SACOLAS,Serviço,3.19,638.0,200.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:48,,00394429000100-1-000153/2026,,,,,,,12006005900112026,1200600590011202600070,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
